"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\services\recordService.ts", "TypeScript", 268, 0, 0, 0, 0, 3, 12, 283
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\types\types.ts", "TypeScript", 42, 0, 0, 0, 0, 2, 4, 48
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\ReviewsPage.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\components\ReviewModal.tsx", "TypeScript JSX", 0, 0, 110, 0, 0, 0, 6, 116
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\components\ReviewsTable.tsx", "TypeScript JSX", 0, 0, 296, 0, 0, 4, 9, 309
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\hooks\useReviews.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\services\reviewService.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 5, 51
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\types\types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\UsersPage.tsx", "TypeScript JSX", 0, 0, 166, 0, 0, 1, 11, 178
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\AddUserModal.tsx", "TypeScript JSX", 0, 0, 195, 0, 0, 4, 14, 213
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\UpdateUserModal.tsx", "TypeScript JSX", 0, 0, 169, 0, 0, 3, 12, 184
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\UsersTable.tsx", "TypeScript JSX", 0, 0, 147, 0, 0, 3, 6, 156
